experiment,symbol,rmse,mae,r2,units,num_layers,dropout,bidirectional,learning_rate,batch_size,timestamp
universal_model_AMZN,AMZN,2.850040541175197,2.2411659683621266,0.983132920942716,200,2,0.4097399944045957,True,0.0001,128,2025-03-02 08:20:57
universal_model_MSFT,MSFT,5.273330869733528,4.118433938093865,0.8270941827231676,200,2,0.4097399944045957,True,0.0001,128,2025-03-02 09:23:12
universal_model_BAC,BAC,0.5450983351661746,0.41210084348134307,0.970181171172712,200,2,0.40973999440459574,True,0.0001,128,2025-03-02 10:07:08
